"Nama UPT","Alamat"
"Balai Besar POM  di Jakarta","Jl. Assyafiiyah no 133 Cilangkap, Cipayung- Jakarta Timur, DKI Jakarta - 13870"
"Balai Besar POM  di Denpasar","Jalan Tjut Nya Dien No. 5 - Denpasar, Bali"
"Balai Besar POM  di Banjarmasin","Jl. Brigjend. H. Hasan Basri No.40 - Banjarmasin, Kalimantan Selatan - 70124"
"Balai Besar POM  di Bandung","Jln. Pasteur No. 25 - Bandung, Jawa Barat - 40171"
"Balai Besar POM  di Bandar Lampung","Jln. Dr. Susilo No. 105, Pahoman - Bandar Lampung, Lampung - 35213"
"Balai POM di Kupang","Jl.R.A Kartini, Kelurahan Kelapa Lima, Kecamatan Kelapa Lima, Kota Kupang"
"Loka POM di Kabupaten Banggai","Jalan Moh. Hatta No. 117, Maahas, Luwuk, Kabupaten Banggai, Sulawesi Tengah"
"Loka POM di Kabupaten Aceh Tengah","Jl. Abdul Wahab No.151, Bukit, Kec. Kebayakan, Takengon, Kabupaten Aceh Tengah, Aceh 24471"
"Loka POM di Kabupaten Aceh Selatan","Jalan Ahmad Yani No. 5 Gampong Pasar Baru, Kec. Tapaktuan Kab. Aceh Selatan Aceh 23715"
"Balai POM di Sofifi","Jl. Pemuda No. 40 Sofifi, Kec. Oba Utara, Kota Tidore Kepulauan, Prov. Maluku Utara"
"Balai POM di Pangkal Pinang","Komplek Perkantoran Pemerintah Prop. Kepulauan Bangka Belitung, Jln. Pulau Bangka, Samping Kiri Dinkes Prop. Air Itam - Pangkal Pinang, Bangka Belitung"
"Balai POM di Palu","Jln.Undata No.03 - Palu, Sulawesi Tengah"
"Balai POM di Manokwari","Jalan Angkasa Mulyono, Amban, Manokwari, Papua Barat"
"Balai POM di Mamuju","Jl. Poros Mamuju - Kalukku KM 13 Bambu, Kab. Mamuju - Sulawesi Barat"
"Balai Besar POM  di Banda Aceh","Jln. Tgk. H. Mohd. Daud Beureuh No.110 - Banda Aceh, Nanggroe Aceh Darussalam - 23126"
"Balai POM di Kendari","Kompleks Bumi Pradja Anduonohu, Kendari, Sulawesi Tenggara"
"Balai POM di Jambi","Jln. RM Nuratmadibrata 11 - Jambi, Jambi - 36123"
"Balai POM di Gorontalo","Jln Tengah Toto Selatan Bone Bolango - Gorontalo"
"Balai POM di Bengkulu","Jln. Depati Payung Negara KM.13 No.29 Pekan Sabtu Tromol Pos 2, Bengkulu 38213"
"Balai POM di Batam","Jalan Hang Jebat Kelurahan Batu Besar Kecamatan Nongsa, Batam, Kepulauan Riau"
"Balai POM di Ambon","Jln. DR. Kayadoe SK.20/2 Kudamati - Ambon, Maluku - 97116"
"Balai Besar POM di Samarinda","Jalan Let.Jend. Soeprapto No. 3 - Samarinda, Kalimantan Timur"
"Balai Besar POM di Manado","Jln. Raya Manado - Tomohon Km. 7 - Pineleng, Manado, Sulawesi Utara"
"Balai POM di Jember","Jl. Letjen Panjaitan No. 40, Sumbersari, Jember 68122"
